iter	MultiClass
0	1.038694637
1	0.9789276056
2	0.9293490189
3	0.8855668777
4	0.8368272523
5	0.7981528316
6	0.7708995291
7	0.7404852287
8	0.7151023569
9	0.6931573422
10	0.6704517705
11	0.6499160106
12	0.6323193619
13	0.6144125294
14	0.6015300502
15	0.5905256862
16	0.5785789867
17	0.5661901251
18	0.5518897044
19	0.5439031324
20	0.5316191757
21	0.5235610023
22	0.5179784653
23	0.5092843618
24	0.5004486557
25	0.4920133689
26	0.4842406015
27	0.4758285964
28	0.4689257002
29	0.461396633
30	0.45625747
31	0.4520947057
32	0.4484897354
33	0.4426872961
34	0.4383082622
35	0.4337635164
36	0.4294501896
37	0.4276887189
38	0.4238824794
39	0.420193029
40	0.4154425
41	0.4118197213
42	0.4078967078
43	0.4032118659
44	0.3993223729
45	0.3963224054
46	0.3914894685
47	0.3890397683
48	0.386375579
49	0.3840579728
50	0.3821872565
51	0.3784269783
52	0.3748982458
53	0.3740092659
54	0.3710407353
55	0.3690776212
56	0.3669911666
57	0.3644393648
58	0.3623291126
59	0.3591812274
60	0.3572606854
61	0.3548237635
62	0.3512617814
63	0.3494170305
64	0.3473210937
65	0.3447342351
66	0.3440236203
67	0.3428503072
68	0.3409092406
69	0.3389741271
70	0.3366412692
71	0.3354793214
72	0.3352469518
73	0.3330050779
74	0.3304885068
75	0.3280520362
76	0.3272820052
77	0.3246755325
78	0.3240749836
79	0.3217208887
80	0.3197801967
81	0.3170801815
82	0.3157244788
83	0.3143094744
84	0.3118845416
85	0.3102331725
86	0.3094568723
87	0.3072995077
88	0.3063723221
89	0.3046047675
90	0.3031446401
91	0.3014855835
92	0.299727387
93	0.2978471245
94	0.2950769726
95	0.2937362149
96	0.292323726
97	0.2914441695
98	0.2902831719
99	0.2892856754
100	0.2879428451
101	0.2861774281
102	0.2847683543
103	0.2833365796
104	0.2822388152
105	0.2804076034
106	0.2792255727
107	0.2783643915
108	0.276972345
109	0.2751264408
110	0.2741666937
111	0.2725970535
112	0.2714388915
113	0.2701322792
114	0.2686860623
115	0.2676810428
116	0.2668046264
117	0.2655524688
118	0.2646195377
119	0.2632041204
120	0.2619757988
121	0.2603523318
122	0.2590812474
123	0.2578565774
124	0.2564448982
125	0.2551252668
126	0.2537962028
127	0.2524982931
128	0.2510106954
129	0.2499780688
130	0.2486766507
131	0.2467985706
132	0.2453369043
133	0.2441770392
134	0.2427742178
135	0.2419911502
136	0.2410585288
137	0.2401110249
138	0.2394289881
139	0.238400926
140	0.2377371114
141	0.2369804501
142	0.2362085465
143	0.2350961564
144	0.2343499545
145	0.2336041017
146	0.2328704976
147	0.232180743
148	0.2316702356
149	0.2309008131
150	0.2297876298
151	0.2289503813
152	0.2279312396
