iter	Passed	Remaining
0	59	17686
1	63	9459
2	66	6540
3	67	4969
4	68	4047
5	71	3484
6	71	3008
7	73	2687
8	76	2458
9	77	2243
10	77	2044
11	79	1903
12	82	1814
13	84	1729
14	86	1647
15	88	1579
16	89	1492
17	89	1409
18	92	1372
19	95	1334
20	96	1282
21	98	1241
22	100	1211
23	101	1164
24	101	1120
25	102	1078
26	103	1049
27	104	1017
28	105	988
29	106	960
30	107	931
31	108	906
32	111	898
33	111	874
34	114	863
35	115	849
36	118	840
37	119	824
38	120	806
39	121	790
40	123	777
41	124	763
42	124	746
43	127	740
44	130	740
45	132	731
46	135	727
47	136	715
48	137	706
49	140	704
50	141	693
51	143	683
52	143	670
53	144	657
54	145	646
55	148	645
56	150	639
57	150	627
58	151	620
59	152	608
60	155	607
61	156	600
62	157	592
63	158	583
64	160	580
65	160	570
66	161	561
67	161	552
68	162	545
69	164	541
70	167	539
71	168	532
72	169	527
73	171	522
74	171	514
75	172	509
76	174	504
77	176	502
78	178	500
79	181	500
80	184	499
81	185	493
82	186	486
83	186	480
84	189	478
85	192	478
86	193	472
87	193	466
88	195	462
89	196	459
90	197	454
91	198	449
92	201	448
93	203	446
94	206	445
95	208	443
96	212	444
97	214	442
98	217	440
99	218	437
100	220	435
101	221	430
102	223	428
103	225	425
104	228	423
105	231	423
106	234	422
107	237	421
108	239	419
109	242	418
110	245	417
111	247	416
112	250	414
113	252	412
114	255	411
115	257	409
116	261	408
117	264	408
118	268	407
119	270	405
120	273	404
121	276	403
122	279	401
123	281	399
124	284	398
125	288	398
126	291	396
127	295	396
128	298	395
129	301	394
130	304	392
131	307	390
132	310	389
133	313	388
134	316	386
135	319	384
136	322	383
137	324	381
138	328	380
139	330	377
140	334	377
141	336	374
142	339	372
143	342	370
144	345	369
145	348	367
146	350	364
147	353	363
148	356	361
149	359	359
150	362	357
151	365	355
152	368	353
153	370	351
154	373	349
155	376	347
156	378	345
157	381	343
158	384	340
159	387	338
160	389	336
161	392	334
162	394	331
163	396	329
164	400	327
165	402	325
166	405	322
167	408	320
168	410	318
169	413	316
170	417	314
171	420	312
172	423	310
173	425	308
174	428	305
175	431	303
176	434	301
177	437	299
178	440	297
179	443	295
180	445	292
181	447	290
182	450	288
183	454	286
184	457	284
185	460	282
186	463	280
187	466	278
188	469	275
189	472	273
190	476	271
191	478	269
192	481	267
193	484	264
194	487	262
195	490	260
196	492	257
197	496	255
198	499	253
199	502	251
200	504	248
201	507	246
202	510	243
203	513	241
204	516	239
205	520	237
206	523	235
207	526	232
208	529	230
209	531	227
210	534	225
211	537	222
212	540	220
213	542	218
214	545	215
215	547	213
216	551	210
217	554	208
218	557	206
219	559	203
220	562	201
221	565	198
222	568	196
223	571	194
224	574	191
225	577	189
226	580	186
227	582	184
228	585	181
229	588	179
230	591	176
231	594	174
232	598	171
233	600	169
234	603	166
235	606	164
236	608	161
237	612	159
238	616	157
239	619	154
240	621	152
241	624	149
242	627	147
243	630	144
244	632	142
245	635	139
246	638	137
247	641	134
248	643	131
249	646	129
250	649	126
251	653	124
252	656	121
253	658	119
254	661	116
255	664	114
256	667	111
257	671	109
258	673	106
259	677	104
260	680	101
261	682	99
262	685	96
263	689	94
264	692	91
265	695	88
266	698	86
267	701	83
268	704	81
269	706	78
270	709	75
271	711	73
272	714	70
273	717	68
274	720	65
275	723	62
276	726	60
277	729	57
278	732	55
279	735	52
280	737	49
281	740	47
282	743	44
283	746	42
284	749	39
285	752	36
286	755	34
287	758	31
288	762	29
289	765	26
290	767	23
291	770	21
292	772	18
293	775	15
294	778	13
295	781	10
296	783	7
297	786	5
298	789	2
299	792	0
